# time luminosity u_luminosity radius u_radius
-7.043637167837005109e+00 1.280072813069300892e+37 2.983214253298313677e+36 1.008664228438441060e+06 1.460309368220472948e+02
-7.030262640590080991e+00 1.316706329002959473e+37 3.016365548474040902e+36 1.008675879087211099e+06 1.489996616493909016e+02
-7.017414113419363275e+00 1.352045755300002405e+37 3.045181295907536716e+36 1.008687381183438469e+06 1.519126422146887307e+02
-7.005552435846766457e+00 1.385543414937559967e+37 3.057666576399233444e+36 1.008698272812361829e+06 1.546427990874188936e+02
-6.993559749244013801e+00 1.418960859993747294e+37 3.084832418889450318e+36 1.008709542448105407e+06 1.574469138997647804e+02
-6.982299545721616596e+00 1.449798027975097018e+37 3.124210079406877331e+36 1.008720354524676804e+06 1.601217944578640697e+02
-6.971351889515062794e+00 1.479817273747012069e+37 3.156919210673136159e+36 1.008731088998402003e+06 1.627435973433950096e+02
-6.960552905424265191e+00 1.510326423522283459e+37 3.190494030927176303e+36 1.008741877722316538e+06 1.653571613346271931e+02
-6.949773551226826385e+00 1.541042225166693592e+37 3.223077081950240131e+36 1.008752864986344939e+06 1.679689773804082620e+02
-6.938896362291416153e+00 1.573525359189915156e+37 3.260184068097467507e+36 1.008764153367079329e+06 1.706107660586798715e+02
-6.927818284311797470e+00 1.607408877509478716e+37 3.301244421455512668e+36 1.008775858395326068e+06 1.733024963840185819e+02
-6.916557324235327542e+00 1.643836506430511987e+37 3.354020226169618546e+36 1.008787975925596198e+06 1.760268803823084909e+02
-6.904908459342550486e+00 1.681719830495652109e+37 3.403107676291271896e+36 1.008800743416415295e+06 1.788311502589438646e+02
-6.893553826870629564e+00 1.718387779076624047e+37 3.452035266693894920e+36 1.008813412045657751e+06 1.815468378249632337e+02
-6.882518745027482510e+00 1.753853954143575651e+37 3.491814376443197457e+36 1.008825933899683645e+06 1.841734555065795576e+02
-6.871809667063644156e+00 1.790903872875794686e+37 3.558152055042197462e+36 1.008838281463311170e+06 1.867091325900037475e+02
-6.861481121275573969e+00 1.825678291154493653e+37 3.615059497407298779e+36 1.008850374041506788e+06 1.891323459667889892e+02
-6.851433434465434402e+00 1.861120940650154561e+37 3.682624103267259263e+36 1.008862303496892448e+06 1.914782254922173479e+02
-6.841624858177965507e+00 1.895414066235689366e+37 3.734728687604426476e+36 1.008874100814858568e+06 1.937521980280647824e+02
-6.831975220120511949e+00 1.929957907246841781e+37 3.790284529663906756e+36 1.008885859773949254e+06 1.959607588783489689e+02
-6.822385906416457146e+00 1.965873376550307592e+37 3.868064740048009402e+36 1.008897683090826264e+06 1.981349229690897289e+02
-6.812811361305648461e+00 1.999723622658904441e+37 3.921658188189535670e+36 1.008909619857468526e+06 2.002810313748334750e+02
-6.803363235812867060e+00 2.035143790507261867e+37 3.985363597669695705e+36 1.008921528189257486e+06 2.023658097448962678e+02
-6.793856331001734361e+00 2.071532579883971813e+37 4.068699814340139543e+36 1.008933629702332197e+06 2.044320820637247209e+02
-6.784245856862980872e+00 2.107963006203085620e+37 4.141278661617651848e+36 1.008945981966852327e+06 2.064840043596693988e+02
-6.774560966849094257e+00 2.144730447939647760e+37 4.214132653027118481e+36 1.008958546380629181e+06 2.085048365990982120e+02
-6.764781229256186634e+00 2.182234978645555927e+37 4.293229536762618129e+36 1.008971346041984507e+06 2.104940583445479660e+02
-6.754758102237246931e+00 2.221674939780228536e+37 4.385620953346654891e+36 1.008984572657628916e+06 2.124816474672938114e+02
-6.744348568579880521e+00 2.263209828117201412e+37 4.470181454086662393e+36 1.008998417565927375e+06 2.144876857342692631e+02
-6.733540030953008682e+00 2.305787758617338637e+37 4.550347276518290079e+36 1.009012901240833104e+06 2.165061753113043039e+02
-6.722555293410550803e+00 2.351795411852596602e+37 4.637836496210838782e+36 1.009027729656585609e+06 2.184916576738398533e+02
-6.711584856733679771e+00 2.394325782794352793e+37 4.713685206805256365e+36 1.009042634184651426e+06 2.204110193657124626e+02
-6.700638592941686511e+00 2.440896108341399962e+37 4.815350773855482820e+36 1.009057592587143998e+06 2.222623702884908710e+02
-6.689652865228708833e+00 2.484692766024240362e+37 4.881685592371517514e+36 1.009072683499771170e+06 2.240525202821667392e+02
-6.678526344941928983e+00 2.534688992871268005e+37 4.982730356797917426e+36 1.009088037227113731e+06 2.258028598037067525e+02
-6.667168369953287765e+00 2.582804625050621447e+37 5.056552520785424040e+36 1.009103774981574388e+06 2.275264183056097522e+02
-6.655705373792443424e+00 2.635000951918071688e+37 5.150544142718184465e+36 1.009119712986167870e+06 2.291932813107188451e+02
-6.643941424525110051e+00 2.686580747376059275e+37 5.227802357909125804e+36 1.009136115679630195e+06 2.308370347119852966e+02
-6.632059040857711807e+00 2.744176477242598913e+37 5.327386386754810419e+36 1.009152724468706409e+06 2.324268304632273043e+02
-6.620418117905501276e+00 2.805161584841926176e+37 5.401685564449059771e+36 1.009169022646516445e+06 2.339136486789043090e+02
-6.608919199876254424e+00 2.861251774014130177e+37 5.454485841494712721e+36 1.009185144121104619e+06 2.353241247865018124e+02
-6.597615903883706778e+00 2.927008284155278320e+37 5.520408426023765125e+36 1.009200999131705496e+06 2.366501109083007464e+02
-6.586411105847219005e+00 2.986784437746215915e+37 5.572633537260124312e+36 1.009216720567089738e+06 2.379144538451849371e+02
-6.575366398232290521e+00 3.047580884797638394e+37 5.649265925140467718e+36 1.009232219220740371e+06 2.391156873186330358e+02
-6.564383684162748978e+00 3.104457498696439497e+37 5.698504298536758600e+36 1.009247618300857372e+06 2.402670870276434982e+02
-6.553720739466371015e+00 3.170005142115814555e+37 5.766071800519211664e+36 1.009262559018139029e+06 2.413484834150514757e+02
-6.543175953614991158e+00 3.227487706956628196e+37 5.809043546792019008e+36 1.009277315206083003e+06 2.423821324791161373e+02
-6.530864245723932981e+00 3.295319686495662472e+37 5.852261486954153767e+36 1.009294517989256652e+06 2.435539380074813778e+02
-6.518551434070104733e+00 3.369818024313716966e+37 5.875597132463400691e+36 1.009311685181873734e+06 2.446906426038226812e+02
-6.502659692690940574e+00 3.462418243029599965e+37 5.890808647012269481e+36 1.009333774048935156e+06 2.461170213786679710e+02
