# time (s)    L (erg/s)   R_phot (cm)
2.929862826135760770E+03  4.47567729478579E+34  1.00794384476541E+06
2.938711813731051279E+03  4.45659490876835E+34  1.00793419588593E+06
2.946957371179898018E+03  4.48742940952949E+34  1.00792526795029E+06
2.955205250626818724E+03  4.53037683213219E+34  1.00791677293940E+06
2.964023814461734673E+03  4.57558164841786E+34  1.00790826356586E+06
2.973866394477310678E+03  4.61938378524689E+34  1.00789945119006E+06
2.985042121331779981E+03  4.66022743064165E+34  1.00789022540122E+06
2.998519569619387767E+03  4.69868889034256E+34  1.00788004907457E+06
3.017298575516950223E+03  4.73655499997722E+34  1.00786733082503E+06
3.037846655167792051E+03  4.76915912278832E+34  1.00785497490044E+06
3.060718721643478602E+03  4.79561427848630E+34  1.00784273748094E+06
3.086174078567536071E+03  4.81798076973626E+34  1.00783059571295E+06
3.089009468950257542E+03  5.00386651583189E+34  1.00796072792455E+06
3.090615570753160227E+03  4.94303521225746E+34  1.00796074995900E+06
3.093811713340936876E+03  4.83423928995706E+34  1.00795901844677E+06
3.100172037090612321E+03  4.74225135904869E+34  1.00795249703320E+06
3.107598415933590786E+03  4.72953760190453E+34  1.00794386319033E+06
3.114906306285622122E+03  4.75450957000430E+34  1.00793548485731E+06
3.122487510313972052E+03  4.79113676808439E+34  1.00792723702025E+06
3.130467015823914608E+03  4.83030836387195E+34  1.00791909946280E+06
3.139086441026189732E+03  4.86824986861609E+34  1.00791091288743E+06
3.148578717046987094E+03  4.90367112210431E+34  1.00790255056992E+06
3.159409204820823106E+03  4.93675587244934E+34  1.00789373781221E+06
3.172284729935539417E+03  4.96796985282611E+34  1.00788412656660E+06
3.189178967090596871E+03  4.99856557866724E+34  1.00787270960990E+06
3.210010632539744165E+03  5.02694698461568E+34  1.00786016082496E+06
3.232985955232129982E+03  5.05166911358612E+34  1.00784785819534E+06
3.258585127554621977E+03  5.07272360760484E+34  1.00783564024938E+06
3.287100689187670014E+03  5.09166337850508E+34  1.00782347911632E+06
3.290278049232258581E+03  5.27845503686748E+34  1.00796214404894E+06
3.291856653913544960E+03  5.19757492184727E+34  1.00796280519040E+06
3.294998077229304272E+03  5.05662180556008E+34  1.00796203329099E+06
3.300836388310660823E+03  4.93420754480245E+34  1.00795706936328E+06
3.308987951621272259E+03  4.90653299157885E+34  1.00794818874464E+06
3.316736437481914436E+03  4.93462815832660E+34  1.00793965756774E+06
3.324412185374030287E+03  4.97832074156400E+34  1.00793153689725E+06
3.333037844194209811E+03  5.02799991255255E+34  1.00792295095187E+06
3.342720949117036980E+03  5.07777006568838E+34  1.00791399697948E+06
3.354133465292050460E+03  5.12615189487714E+34  1.00790427642428E+06
3.369472487430290130E+03  5.17470409619790E+34  1.00789244600581E+06
3.388036237366695786E+03  5.21879991390655E+34  1.00787968286958E+06
3.408486117572723742E+03  5.25534707714876E+34  1.00786719063551E+06
3.431230926795703454E+03  5.28513937813318E+34  1.00785481900624E+06
3.456534362341265478E+03  5.31033728980360E+34  1.00784253566304E+06
3.459350629088902224E+03  5.48878889987887E+34  1.00797396032311E+06
3.460916389229830202E+03  5.42426974632717E+34  1.00797405206082E+06
3.464032251910276955E+03  5.31001615467048E+34  1.00797238226333E+06
3.470232818644366489E+03  5.21393305726030E+34  1.00796590116829E+06
3.476827727848174163E+03  5.19836833466196E+34  1.00795808417496E+06
3.483419375004065841E+03  5.21935861055110E+34  1.00795030508917E+06
3.490331441858660583E+03  5.25423911871085E+34  1.00794249911923E+06
3.497615688814440546E+03  5.29308577063183E+34  1.00793474697944E+06
3.505541393503025120E+03  5.33206570921809E+34  1.00792685567102E+06
3.514318513073757003E+03  5.36956473035508E+34  1.00791872161023E+06
3.524311612673058789E+03  5.40511296673062E+34  1.00791014591633E+06
3.535712122958908367E+03  5.43859558643539E+34  1.00790111943071E+06
