# time luminosity u_luminosity radius u_radius
-8.276023588914540596e+00 5.072620438709577613e+36 3.514464836840023060e+36 1.008605329862608458e+06 1.548770274577799739e+02
-8.275285860232543200e+00 5.063943738154998108e+36 3.443383575893903085e+36 1.008606046636776533e+06 1.544584924488109152e+02
-8.273817780151148327e+00 5.343960815477262601e+36 3.386469329563547309e+36 1.008607446943973540e+06 1.536687939845452604e+02
-8.271551854195422493e+00 5.890761576076496271e+36 4.243523656448884857e+36 1.008609509263284737e+06 1.525814989682889120e+02
-8.270737259153975174e+00 6.384338413523091182e+36 5.569143168261361626e+36 1.008610242055273382e+06 1.522078170614514647e+02
-8.270426045142812654e+00 6.093578956913852851e+36 4.766963779892687568e+36 1.008610519832416787e+06 1.520685951719361526e+02
-8.269806729280389845e+00 5.990971549523411754e+36 4.507365145036165300e+36 1.008611057880952372e+06 1.518085600766880532e+02
-8.268574290705146268e+00 5.982837898186689182e+36 4.501723875951224471e+36 1.008612102153348271e+06 1.513238321137258993e+02
-8.266121737935463898e+00 6.313075734395736203e+36 5.398301164041806964e+36 1.008614135947920848e+06 1.504296553921479926e+02
-8.265202767550363205e+00 6.390717510610557596e+36 4.984426266936099724e+36 1.008614872144613531e+06 1.501263869078577784e+02
-8.263374016489251517e+00 7.268294663920700127e+36 5.168168530306131634e+36 1.008616306970869657e+06 1.495687477902127966e+02
-8.260579319670796394e+00 7.271341984546025301e+36 5.220879048873793321e+36 1.008618404188990826e+06 1.488336476816104437e+02
-8.257653243854292668e+00 7.917081046707915844e+36 6.628967850721854185e+36 1.008620520987535012e+06 1.481666001359941163e+02
-8.256570410507265478e+00 7.922638233343837581e+36 6.704627578435761760e+36 1.008621286793441977e+06 1.479414350360919457e+02
-8.254415572140715085e+00 7.800319914816982911e+36 6.408164562208668819e+36 1.008622762919113273e+06 1.475471915676630488e+02
-8.253550346445990726e+00 7.776069144273225041e+36 6.367287507792785571e+36 1.008623349457078497e+06 1.473973761059149297e+02
-8.251828547319746576e+00 7.672531416660452122e+36 6.181563878703906201e+36 1.008624483173723100e+06 1.471329997434069980e+02
-8.248444835364352912e+00 7.621630275410441427e+36 6.170733981881870359e+36 1.008626656014980632e+06 1.466811896225185876e+02
