# model,burst,bstart,btime,fluence,peakLum,persLum,tau,tdel,conv,t10,t25,t90,fitAlpha,fitDecay,alpha
'xrba05d',10,124160.18825976794,102.66711358787143,4.3779423789967501e+39,1.5630520624299e+38,4.4810060720878398e+35,28.008935109882771,10935.828628831281,11.747211783270259,-7.0997523979021935,-6.5627617099380586,-1.9723421192320529,0.96622723862208737,19.369256531617477,47.296209396190243
'xrba05d',11,135047.20889639723,98.559515740023926,4.3990323091970704e+39,1.54084701612591e+38,4.6050768557074497e+35,28.5494423726593,10887.238600124067,13.997141988096653,-6.8842337077658158,-6.418376097077271,-1.8897280064411461,0.94603452171125557,22.664950196127922,46.891028597501546
'xrba05d',12,146090.9965286451,101.6889696274884,4.3947647247558366e+39,1.5286599474356399e+38,4.3923311725304698e+35,28.74913241580084,11044.36604007025,13.347614842461603,-7.0272777570353355,-6.5364720471843611,-1.9944429922907148,0.9451083068514794,23.228149062461661,47.560498691363939
'xrba05d',13,157092.12436795395,95.075314452027669,4.4442447687858533e+39,1.69276351875643e+38,4.8400710519532699e+35,26.254374692873629,10999.88354020071,13.48559313967494,-6.5855468519148417,-6.1099818372167647,-1.7612175135291182,0.97613822336189182,21.494730690266596,46.952379936295827
'xrba05d',14,168542.12944334708,105.35981976526091,4.4630083553633736e+39,1.6304743696698301e+38,4.6030419829921797e+35,27.372453307972759,11449.07892618078,12.34917275503039,-6.8561300951696467,-6.3345542730530724,-1.8226201904763002,1.0565219227042477,21.990278224177757,48.60347883173452
'xrba05d',15,179443.05979313384,105.66328153616632,4.4045313399753454e+39,1.5570204332061101e+38,4.4447371013784603e+35,28.288205125900856,10904.340924660413,12.382332444992137,-6.9335972389671952,-6.3993778836156707,-1.8593801552488003,0.95725384380465273,21.737342885924178,46.866357227876975
'xrba05d',16,190456.4702202834,101.93806999977096,4.3609181832565795e+39,1.55281528990172e+38,4.8579283633856102e+35,28.083946697437455,11010.261179920199,13.103080068767289,-6.9952178180101328,-6.4522482164320536,-1.9328447971784044,0.97318507637820528,22.26439498261978,47.899177512988587
'xrba05d',17,201461.16333503457,103.7614857267472,4.3265587632857094e+39,1.5767819038194701e+38,4.8022859609668401e+35,27.439170584120735,11004.131772893103,11.548418209115209,-7.1539112175523769,-6.6003950507438276,-1.9922921487886924,1.0150904506120026,19.726569242757268,48.238540171303129
'xrba05d',18,212255.78019613813,99.075577653275104,4.4268300551627387e+39,1.62324055428468e+38,4.4639592112781298e+35,27.2715590026244,10796.748942945618,13.384748540751019,-6.6945055787218735,-6.2111806560133118,-1.7642303119064309,0.99759351787984962,23.87831974440881,46.174875272312711
'xrba05d',19,223327.2782804216,104.85656378205749,4.33470709821611e+39,1.5653665605857201e+38,4.4280940991730202e+35,27.691322961403838,11072.146830624697,12.803233699780966,-6.9807694395130966,-6.4743022070033476,-1.9157642993959598,0.98018149287863343,21.484265316543635,48.349877481171831
'xrba05d',20,233986.96797972295,96.165196763671702,4.2714275673751785e+39,1.5577057994687e+38,4.8057967795851399e+35,27.421272802810844,10657.620721394662,14.186292187585714,-6.931846160790883,-6.4458331262867432,-1.9977140980481636,0.97973205314604317,23.958922505281148,47.323432131616151
'xrba05d',21,244919.88207957678,94.24019674322335,4.3753594118388188e+39,1.68386931326566e+38,4.9534576452497296e+35,25.983960734775437,10932.477006906294,14.823246635421333,-6.7098047431209125,-6.2789617004164029,-1.8922007609799039,1.0231163784249135,22.639244103698427,47.427675442917845
'xrba05d',22,256286.96739314636,102.99088627233868,4.4353456167275063e+39,1.59525123460239e+38,4.6724831160186297e+35,27.803430083744761,11367.749600388808,13.715524892613306,-6.8038197411224246,-6.3184893824509345,-1.9068410654144827,1.0131280495235666,21.970546067120768,48.576999300282225
'xrba05d',23,267166.93607133621,101.11532273766352,4.3269992769625331e+39,1.5571200792728201e+38,4.5543819782442002e+35,27.78847524067158,10879.761376780196,12.958677899323785,-6.8818295490927994,-6.3764110754709691,-1.9177726074703969,0.97877758255080582,22.930916257991917,47.626152567795678
'xrba05d',24,278072.39978911792,103.62761368922656,4.3528319509668089e+39,1.5185146461627901e+38,4.1599258032720598e+35,28.665063995044076,10913.283461711602,11.974051834312785,-7.1346843293868005,-6.5565750935347751,-1.9836364578804933,0.96776001283028412,21.179511434102444,47.390481724079137
'xrba05d',25,288978.11289118428,102.09494099137373,4.3801854254597015e+39,1.5505883095026499e+38,4.5486772380658896e+35,28.248538948837055,10899.783479708363,12.555147987528908,-7.0317472114693373,-6.4978651457931846,-2.0256377636105753,0.94808214401256929,23.055305428535984,47.133017681693531
'xrba05d',26,299847.16915718134,99.943327598506585,4.2958912679408155e+39,1.5288594267877899e+38,4.43141806036993e+35,28.098667494674103,10870.850027397042,12.887702529488543,-6.9289359377580695,-6.3887851755134761,-1.9496914143091999,0.9788367141681602,22.732888443582301,47.900621520943652
'xrba05d',27,310840.13031658792,103.44145446905168,4.391121505113684e+39,1.57680791365446e+38,4.8822222212540798e+35,27.848170135934197,10989.101332482882,12.904235317580087,-6.9862953145056963,-6.4758077446604148,-1.9215791161404923,1.0073229667401957,22.462583662928079,47.484372833036971
'xrba05d',28,321734.67828058044,101.92274632304907,4.3399619813412339e+39,1.5546030178745401e+38,4.6217981325018697e+35,27.916850356271972,10894.867874000804,12.036872669063182,-6.8682847471209243,-6.329516067286022,-1.8972640836727805,0.98487503067223425,20.46310724639066,47.566756668769678
